"lane_id","year","month","month_name","total_shipments","avg_utilization","low_util_shipments","monthly_savings_potential"
"L005",2025,6,"June","17","0.79","0","0.00"
"L005",2025,7,"July","17","0.79","0","0.00"
"L005",2025,8,"August","18","0.80","0","0.00"
"L005",2025,9,"September","17","0.79","0","0.00"
"L005",2025,10,"October","18","0.77","1","697.30"
"L005",2025,11,"November","20","0.78","0","0.00"
"L005",2025,12,"December","19","0.77","0","0.00"
"L005",2026,1,"January","21","0.77","0","0.00"
"L005",2026,2,"February","18","0.78","0","0.00"
"L005",2026,3,"March","16","0.77","0","0.00"
"L006",2024,4,"April","6","0.60","5","9100.74"
"L006",2024,5,"May","7","0.60","7","12339.90"
"L006",2024,6,"June","4","0.62","4","7511.01"
"L006",2024,7,"July","6","0.60","6","11587.86"
"L006",2024,8,"August","6","0.61","4","7797.18"
"L006",2024,9,"September","5","0.61","4","7488.71"
"L006",2024,10,"October","5","0.63","4","7867.01"
"L006",2024,11,"November","4","0.63","4","7034.30"
"L006",2024,12,"December","4","0.66","1","2015.51"
"L006",2025,1,"January","6","0.62","4","7799.29"
"L006",2025,2,"February","5","0.66","2","3987.82"
"L006",2025,3,"March","7","0.63","4","7233.78"
"L006",2025,4,"April","5","0.63","2","3614.51"
"L006",2025,5,"May","5","0.58","4","6997.88"
"L006",2025,6,"June","5","0.61","3","5463.99"
"L006",2025,7,"July","5","0.63","3","5513.72"
"L006",2025,8,"August","4","0.66","2","3644.55"
"L006",2025,9,"September","6","0.60","4","7249.80"
"L006",2025,10,"October","5","0.59","4","8408.93"
"L006",2025,11,"November","6","0.61","5","9104.36"
"L006",2025,12,"December","6","0.64","2","3819.74"
"L006",2026,1,"January","6","0.60","5","9458.18"
"L006",2026,2,"February","4","0.63","3","5696.73"
"L006",2026,3,"March","6","0.59","5","9674.44"
"L007",2024,4,"April","15","0.77","0","0.00"
"L007",2024,5,"May","13","0.76","1","625.88"
"L007",2024,6,"June","20","0.77","0","0.00"
"L007",2024,7,"July","17","0.75","0","0.00"
"L007",2024,8,"August","16","0.78","0","0.00"
"L007",2024,9,"September","16","0.80","0","0.00"
"L007",2024,10,"October","11","0.79","0","0.00"
"L007",2024,11,"November","12","0.79","0","0.00"
"L007",2024,12,"December","16","0.77","1","582.26"
"L007",2025,1,"January","14","0.78","0","0.00"
"L007",2025,2,"February","14","0.74","1","636.96"
"L007",2025,3,"March","14","0.78","0","0.00"
"L007",2025,4,"April","16","0.76","1","759.48"
"L007",2025,5,"May","14","0.76","0","0.00"
"L007",2025,6,"June","15","0.78","1","515.45"
"L007",2025,7,"July","13","0.76","0","0.00"
"L007",2025,8,"August","17","0.77","0","0.00"
"L007",2025,9,"September","13","0.75","0","0.00"
"L007",2025,10,"October","12","0.76","0","0.00"
"L007",2025,11,"November","15","0.77","0","0.00"
"L007",2025,12,"December","14","0.76","0","0.00"
"L007",2026,1,"January","19","0.80","0","0.00"
"L007",2026,2,"February","15","0.73","1","699.49"
"L007",2026,3,"March","19","0.77","0","0.00"
"L008",2024,4,"April","10","0.82","0","0.00"
"L008",2024,5,"May","12","0.81","0","0.00"
"L008",2024,6,"June","12","0.76","0","0.00"
"L008",2024,7,"July","9","0.81","0","0.00"
"L008",2024,8,"August","13","0.79","0","0.00"
"L008",2024,9,"September","9","0.79","0","0.00"
"L008",2024,10,"October","11","0.76","0","0.00"
"L008",2024,11,"November","8","0.82","0","0.00"
"L008",2024,12,"December","13","0.79","1","327.89"
"L008",2025,1,"January","18","0.82","0","0.00"
"L008",2025,2,"February","13","0.77","1","341.14"
"L008",2025,3,"March","13","0.78","0","0.00"
"L008",2025,4,"April","11","0.75","0","0.00"
"L008",2025,5,"May","8","0.81","0","0.00"
"L008",2025,6,"June","11","0.79","0","0.00"
"L008",2025,7,"July","11","0.76","0","0.00"
"L008",2025,8,"August","10","0.79","0","0.00"
"L008",2025,9,"September","9","0.79","0","0.00"
"L008",2025,10,"October","14","0.76","0","0.00"
"L008",2025,11,"November","11","0.79","0","0.00"
"L008",2025,12,"December","9","0.82","0","0.00"
"L008",2026,1,"January","12","0.80","0","0.00"
"L008",2026,2,"February","12","0.82","0","0.00"
"L008",2026,3,"March","9","0.81","0","0.00"
"L009",2024,4,"April","16","0.79","0","0.00"
"L009",2024,5,"May","20","0.75","0","0.00"
"L009",2024,6,"June","15","0.77","0","0.00"
"L009",2024,7,"July","15","0.75","0","0.00"
"L009",2024,8,"August","18","0.74","1","603.80"
"L009",2024,9,"September","15","0.75","1","677.69"
"L009",2024,10,"October","14","0.76","0","0.00"
"L009",2024,11,"November","17","0.75","0","0.00"
"L009",2024,12,"December","16","0.73","1","642.41"
"L009",2025,1,"January","18","0.75","2","1277.09"
"L009",2025,2,"February","16","0.76","0","0.00"
"L009",2025,3,"March","18","0.73","2","1499.15"
"L009",2025,4,"April","20","0.73","1","773.66"
"L009",2025,5,"May","16","0.74","1","719.00"
"L009",2025,6,"June","14","0.73","2","1321.10"
"L009",2025,7,"July","13","0.75","0","0.00"
"L009",2025,8,"August","16","0.76","1","608.52"
"L009",2025,9,"September","18","0.74","1","738.28"
"L009",2025,10,"October","12","0.78","0","0.00"
"L009",2025,11,"November","18","0.74","0","0.00"
"L009",2025,12,"December","20","0.76","1","776.28"
"L009",2026,1,"January","19","0.75","1","731.09"
"L009",2026,2,"February","17","0.73","2","1356.06"
"L009",2026,3,"March","19","0.72","2","1310.47"
"L010",2024,4,"April","5","0.65","2","3633.04"
"L010",2024,5,"May","6","0.64","2","3000.12"
"L010",2024,6,"June","5","0.66","1","1651.01"
"L010",2024,7,"July","7","0.62","4","6940.23"
"L010",2024,8,"August","7","0.63","5","8029.42"
"L010",2024,9,"September","6","0.67","3","5223.03"
"L010",2024,10,"October","5","0.66","2","3862.53"
"L010",2024,11,"November","7","0.59","7","11788.32"
"L010",2024,12,"December","6","0.68","1","1532.56"
"L010",2025,1,"January","6","0.66","2","3453.28"
"L010",2025,2,"February","7","0.66","3","5303.29"
"L010",2025,3,"March","7","0.65","3","5106.70"
"L010",2025,4,"April","8","0.60","6","10189.27"
"L010",2025,5,"May","7","0.66","3","5059.41"
"L010",2025,6,"June","6","0.67","1","1603.95"
"L010",2025,7,"July","6","0.64","4","6860.08"
"L010",2025,8,"August","6","0.62","5","7985.26"
"L010",2025,9,"September","7","0.68","1","1595.10"
"L010",2025,10,"October","8","0.63","3","5420.03"
"L010",2025,11,"November","7","0.65","4","6600.01"
"L010",2025,12,"December","6","0.59","4","7193.94"
"L010",2026,1,"January","6","0.64","4","7024.36"
"L010",2026,2,"February","7","0.63","4","6668.90"
"L010",2026,3,"March","7","0.62","4","6824.77"
"L011",2024,4,"April","13","0.72","2","1987.52"
"L011",2024,5,"May","11","0.74","0","0.00"
"L011",2024,6,"June","14","0.73","1","1079.64"
"L011",2024,7,"July","15","0.71","1","1152.70"
"L011",2024,8,"August","12","0.70","1","978.29"
"L011",2024,9,"September","10","0.72","2","2090.46"
"L011",2024,10,"October","11","0.73","1","1196.23"
"L011",2024,11,"November","15","0.72","0","0.00"
"L011",2024,12,"December","11","0.69","2","2086.72"
"L011",2025,1,"January","14","0.71","1","1030.32"
"L011",2025,2,"February","14","0.75","1","965.53"
"L011",2025,3,"March","13","0.74","0","0.00"
"L011",2025,4,"April","13","0.72","0","0.00"
"L011",2025,5,"May","15","0.75","2","2119.31"
"L011",2025,6,"June","10","0.70","4","4140.79"
"L011",2025,7,"July","11","0.71","2","1959.13"
"L011",2025,8,"August","11","0.72","1","1034.42"
"L011",2025,9,"September","11","0.71","0","0.00"
"L011",2025,10,"October","10","0.74","1","1106.58"
"L011",2025,11,"November","13","0.73","0","0.00"
"L011",2025,12,"December","14","0.71","2","1969.07"
"L011",2026,1,"January","9","0.71","1","1094.10"
"L011",2026,2,"February","14","0.70","2","2148.71"
"L011",2026,3,"March","15","0.71","1","977.32"
"L012",2024,4,"April","9","0.63","4","2976.17"
"L012",2024,5,"May","7","0.67","3","2183.75"
"L012",2024,6,"June","7","0.67","2","1371.44"
"L012",2024,7,"July","9","0.62","5","3810.39"
"L012",2024,8,"August","9","0.65","6","4569.94"
"L012",2024,9,"September","8","0.68","3","2537.77"
"L012",2024,10,"October","7","0.68","2","1313.52"
"L012",2024,11,"November","8","0.65","5","3990.08"
"L012",2024,12,"December","6","0.68","1","837.42"
"L012",2025,1,"January","9","0.66","4","3173.02"
"L012",2025,2,"February","9","0.65","5","3644.65"
"L012",2025,3,"March","7","0.68","3","2213.77"
"L012",2025,4,"April","8","0.64","4","2951.87"
"L012",2025,5,"May","7","0.64","3","2296.87"
"L012",2025,6,"June","7","0.69","1","651.11"
"L012",2025,7,"July","8","0.65","3","2391.67"
"L012",2025,8,"August","9","0.66","4","3157.40"
"L012",2025,9,"September","8","0.64","3","2308.41"
"L012",2025,10,"October","6","0.68","2","1456.99"
"L012",2025,11,"November","9","0.66","4","2915.13"
"L012",2025,12,"December","9","0.63","5","3691.51"
"L012",2026,1,"January","7","0.67","3","2238.33"
"L012",2026,2,"February","8","0.64","3","2412.46"
"L012",2026,3,"March","7","0.68","2","1452.77"
