shipment_id,shipment_date,year,month,month_name,quarter,lane_id,origin_state,destination_state,origin_type,destination_type,volume_band,service_sensitivity,base_risk_band,strategic_priority,carrier_id,carrier_name,carrier_profile,distance_miles,weight_lbs,planned_transit_days,actual_transit_days,quoted_cost,actual_cost,cost_leakage_amount,on_time_flag,invoice_exception_flag,utilization_pct,priority_flag,carrier_hist_otif,carrier_hist_exception_rate,lane_hist_otif,lane_hist_avg_delay,lane_carrier_hist_otif,cost_per_mile_quoted,distance_x_carrier_risk,weight_util_ratio,late_risk_probability,late_risk_tier
SH000080,2024-04-02,2024,4,April,2,L005,Texas,Tennessee,Processing Hub,Battery Hub,Medium,High,Medium,High,C02,Titan Logistics,Premium / High Reliability,900,21236.0,3,3,2596.41,2647.85,51.44,1,1,0.78,High,1.0,0.0,1.0,0.0,1.0,2.8849,33.07692307692306,27225.641025641024,0.0573,Low Risk
SH000112,2024-04-02,2024,4,April,2,L007,Texas,Georgia,Processing Hub,Battery Hub,Medium,High,Medium,High,C04,Velocity Haul,Exception-Prone Carrier,800,17391.0,2,2,1994.99,1805.09,-189.9,1,0,0.77,High,1.0,0.0,1.0,0.0,1.0,2.4937375,152.53772290809326,22585.714285714286,0.2385,Medium Risk
SH000117,2024-04-02,2024,4,April,2,L007,Texas,Georgia,Processing Hub,Battery Hub,Medium,High,Medium,High,C03,BlueRoute Transport,Balanced Performer,800,16644.0,2,1,2156.56,2118.32,-38.24,1,0,0.74,High,1.0,0.0,1.0,0.0,0.907035175879397,2.6957,47.013487475915205,22491.891891891893,0.0642,Low Risk
SH000139,2024-04-02,2024,4,April,2,L009,Georgia,Michigan,Battery Hub,EV Manufacturing Hub,Medium,High,Medium,High,C03,BlueRoute Transport,Balanced Performer,850,25742.0,2,2,2143.82,2164.89,21.07,1,0,0.75,High,1.0,0.0,1.0,0.0,1.0,2.5221411764705883,49.951830443159906,34322.666666666664,0.1172,Low Risk
SH000153,2024-04-03,2024,4,April,2,L011,Texas,North Carolina,Processing Hub,Processing Hub,Medium,Medium,Medium,Medium,C02,Titan Logistics,Premium / High Reliability,1200,15338.0,3,3,3454.24,3394.39,-59.85,1,0,0.82,Medium,1.0,0.25,0.907035175879397,0.0,0.907035175879397,2.878533333333333,44.10256410256408,18704.87804878049,0.1031,Low Risk
SH000113,2024-04-03,2024,4,April,2,L007,Texas,Georgia,Processing Hub,Battery Hub,Medium,High,Medium,High,C01,Apex Freight,Low Cost / Lower Reliability,800,20015.0,2,2,1934.11,1907.6,-26.51,1,0,0.84,High,1.0,0.0,1.0,-0.3333333333333333,0.907035175879397,2.4176374999999997,97.41131351869603,23827.380952380954,0.1929,Medium Risk
SH000050,2024-04-03,2024,4,April,2,L003,Georgia,Tennessee,Battery Hub,EV Manufacturing Hub,Medium,Medium,Low,Medium,C04,Velocity Haul,Exception-Prone Carrier,250,11435.0,1,1,626.22,622.99,-3.23,1,0,0.87,Medium,1.0,0.0,1.0,0.0,0.907035175879397,2.50488,47.66803840877915,13143.67816091954,0.1765,Medium Risk
SH000054,2024-04-03,2024,4,April,2,L003,Georgia,Tennessee,Battery Hub,EV Manufacturing Hub,Medium,Medium,Low,Medium,C02,Titan Logistics,Premium / High Reliability,250,15459.0,1,1,677.86,696.23,18.37,1,0,0.83,Medium,1.0,0.2,1.0,0.0,0.907035175879397,2.71144,9.188034188034184,18625.30120481928,0.0774,Low Risk
SH000089,2024-04-03,2024,4,April,2,L005,Texas,Tennessee,Processing Hub,Battery Hub,Medium,High,Medium,High,C04,Velocity Haul,Exception-Prone Carrier,900,17218.0,3,3,2377.7,2444.13,66.43,1,0,0.75,High,1.0,0.0,1.0,0.0,0.907035175879397,2.6418888888888885,171.60493827160494,22957.333333333332,0.2632,Medium Risk
SH000017,2024-04-04,2024,4,April,2,L001,Nevada,Texas,Upstream Supply,Processing Hub,High,High,Medium,High,C01,Apex Freight,Low Cost / Lower Reliability,1200,22267.0,3,3,3032.6,3044.66,12.06,1,0,0.75,High,1.0,0.0,1.0,-0.3333333333333333,0.907035175879397,2.5271666666666666,146.11697027804405,29689.333333333332,0.2275,Medium Risk
SH000038,2024-04-04,2024,4,April,2,L002,Texas,Michigan,Processing Hub,EV Manufacturing Hub,High,High,Medium,High,C02,Titan Logistics,Premium / High Reliability,1350,20104.0,3,3,3978.82,4061.47,82.65,1,0,0.82,High,1.0,0.16666666666666666,0.907035175879397,0.0,0.907035175879397,2.947274074074074,49.61538461538459,24517.07317073171,0.0789,Low Risk
SH000064,2024-04-04,2024,4,April,2,L003,Georgia,Tennessee,Battery Hub,EV Manufacturing Hub,Medium,Medium,Low,Medium,C02,Titan Logistics,Premium / High Reliability,250,19112.0,1,1,669.15,708.38,39.23,1,0,0.79,Medium,1.0,0.14285714285714285,1.0,0.0,1.0,2.6766,9.188034188034184,24192.40506329114,0.0852,Low Risk
SH000074,2024-04-04,2024,4,April,2,L004,North Carolina,Michigan,Processing Hub,EV Manufacturing Hub,Medium,High,Medium,High,C03,BlueRoute Transport,Balanced Performer,700,19575.0,2,1,1756.81,1786.12,29.31,1,0,0.77,High,1.0,0.0,1.0,0.0,0.907035175879397,2.5097285714285715,41.136801541425804,25422.077922077922,0.0472,Low Risk
SH000094,2024-04-04,2024,4,April,2,L005,Texas,Tennessee,Processing Hub,Battery Hub,Medium,High,Medium,High,C03,BlueRoute Transport,Balanced Performer,900,20527.0,3,3,2334.4,2329.88,-4.52,1,0,0.67,High,1.0,0.0,1.0,0.0,0.907035175879397,2.593777777777778,52.89017341040461,30637.313432835817,0.1209,Low Risk
SH000104,2024-04-04,2024,4,April,2,L006,Nevada,Georgia,Upstream Supply,Battery Hub,Low,High,High,Medium,C01,Apex Freight,Low Cost / Lower Reliability,1900,12351.0,5,5,5931.87,5647.83,-284.04,1,0,0.61,Medium,1.0,0.0,0.907035175879397,0.0,0.907035175879397,3.122036842105263,231.35186960690308,20247.54098360656,0.3358,High Risk
SH000114,2024-04-04,2024,4,April,2,L007,Texas,Georgia,Processing Hub,Battery Hub,Medium,High,Medium,High,C01,Apex Freight,Low Cost / Lower Reliability,800,20899.0,2,2,1870.61,1818.52,-52.09,1,0,0.71,High,1.0,0.0,1.0,-0.25,1.0,2.3382625,97.41131351869603,29435.211267605635,0.1077,Low Risk
SH000169,2024-04-04,2024,4,April,2,L012,Georgia,Texas,Battery Hub,Processing Hub,Low,Medium,Medium,Medium,C02,Titan Logistics,Premium / High Reliability,900,16512.0,3,3,2672.82,2755.03,82.21,1,0,0.58,Medium,1.0,0.125,0.907035175879397,0.0,0.907035175879397,2.9698,33.07692307692306,28468.96551724138,0.0967,Low Risk
SH000118,2024-04-05,2024,4,April,2,L007,Texas,Georgia,Processing Hub,Battery Hub,Medium,High,Medium,High,C03,BlueRoute Transport,Balanced Performer,800,13881.0,2,2,2180.67,2260.46,79.79,1,0,0.73,High,1.0,0.0,1.0,-0.2,1.0,2.7258375,47.013487475915205,19015.068493150684,0.1213,Low Risk
SH000152,2024-04-05,2024,4,April,2,L010,Nevada,Tennessee,Upstream Supply,Battery Hub,Low,High,High,Medium,C03,BlueRoute Transport,Balanced Performer,1750,16755.0,4,4,5279.58,5863.11,583.53,1,0,0.7,High,1.0,0.0,0.907035175879397,0.0,0.907035175879397,3.016902857142857,102.8420038535645,23935.714285714286,0.3477,High Risk
SH000106,2024-04-05,2024,4,April,2,L006,Nevada,Georgia,Upstream Supply,Battery Hub,Low,High,High,Medium,C01,Apex Freight,Low Cost / Lower Reliability,1900,11697.0,5,5,5862.79,5463.73,-399.06,1,0,0.6,Medium,1.0,0.0,1.0,0.0,1.0,3.085678947368421,231.35186960690308,19495.0,0.3683,High Risk
SH000091,2024-04-05,2024,4,April,2,L005,Texas,Tennessee,Processing Hub,Battery Hub,Medium,High,Medium,High,C01,Apex Freight,Low Cost / Lower Reliability,900,18408.0,3,3,2211.52,2282.31,70.79,1,1,0.68,High,1.0,0.0,1.0,0.0,0.907035175879397,2.4572444444444446,109.58772770853304,27070.588235294115,0.2597,Medium Risk
SH000059,2024-04-05,2024,4,April,2,L003,Georgia,Tennessee,Battery Hub,EV Manufacturing Hub,Medium,Medium,Low,Medium,C02,Titan Logistics,Premium / High Reliability,250,16361.0,1,1,677.03,674.85,-2.18,1,0,0.75,Medium,1.0,0.1111111111111111,1.0,0.0,1.0,2.70812,9.188034188034184,21814.666666666668,0.0375,Low Risk
SH000036,2024-04-05,2024,4,April,2,L002,Texas,Michigan,Processing Hub,EV Manufacturing Hub,High,High,Medium,High,C03,BlueRoute Transport,Balanced Performer,1350,17881.0,3,3,3538.09,3725.72,187.63,1,1,0.85,High,1.0,0.0,1.0,0.0,0.907035175879397,2.6208074074074075,79.33526011560691,21036.470588235294,0.1608,Medium Risk
SH000019,2024-04-05,2024,4,April,2,L001,Nevada,Texas,Upstream Supply,Processing Hub,High,High,Medium,High,C04,Velocity Haul,Exception-Prone Carrier,1200,22393.0,3,3,3069.41,3325.25,255.84,1,0,0.75,High,1.0,0.0,1.0,-0.25,0.907035175879397,2.5578416666666666,228.8065843621399,29857.333333333332,0.2727,Medium Risk
SH000043,2024-04-06,2024,4,April,2,L002,Texas,Michigan,Processing Hub,EV Manufacturing Hub,High,High,Medium,High,C01,Apex Freight,Low Cost / Lower Reliability,1350,19908.0,3,2,3536.58,3239.55,-297.03,1,0,0.83,High,1.0,0.14285714285714285,1.0,0.0,0.907035175879397,2.6196888888888887,164.38159156279954,23985.5421686747,0.2901,Medium Risk
SH000055,2024-04-06,2024,4,April,2,L003,Georgia,Tennessee,Battery Hub,EV Manufacturing Hub,Medium,Medium,Low,Medium,C03,BlueRoute Transport,Balanced Performer,250,18695.0,1,1,620.87,628.33,7.46,1,0,0.76,Medium,1.0,0.08333333333333333,1.0,0.0,1.0,2.48348,14.691714836223502,24598.684210526317,0.0599,Low Risk
SH000066,2024-04-06,2024,4,April,2,L004,North Carolina,Michigan,Processing Hub,EV Manufacturing Hub,Medium,High,Medium,High,C03,BlueRoute Transport,Balanced Performer,700,17370.0,2,2,1797.78,1865.32,67.54,1,0,0.75,High,1.0,0.07692307692307693,1.0,-0.5,1.0,2.568257142857143,41.136801541425804,23160.0,0.0419,Low Risk
SH000068,2024-04-06,2024,4,April,2,L004,North Carolina,Michigan,Processing Hub,EV Manufacturing Hub,Medium,High,Medium,High,C02,Titan Logistics,Premium / High Reliability,700,17028.0,2,2,1999.14,2062.97,63.83,1,0,0.7,High,1.0,0.1,1.0,-0.3333333333333333,0.907035175879397,2.855914285714286,25.726495726495713,24325.714285714286,0.025,Low Risk
SH000111,2024-04-06,2024,4,April,2,L007,Texas,Georgia,Processing Hub,Battery Hub,Medium,High,Medium,High,C01,Apex Freight,Low Cost / Lower Reliability,800,20315.0,2,2,1858.45,1848.24,-10.21,1,1,0.83,High,1.0,0.125,1.0,-0.16666666666666666,1.0,2.3230625000000003,97.41131351869603,24475.90361445783,0.118,Low Risk
SH000141,2024-04-06,2024,4,April,2,L009,Georgia,Michigan,Battery Hub,EV Manufacturing Hub,Medium,High,Medium,High,C02,Titan Logistics,Premium / High Reliability,850,20890.0,2,2,2425.39,2446.39,21.0,1,0,0.73,High,1.0,0.09090909090909091,1.0,0.0,1.0,2.8533999999999997,31.239316239316224,28616.438356164384,0.0368,Low Risk
SH000156,2024-04-06,2024,4,April,2,L011,Texas,North Carolina,Processing Hub,Processing Hub,Medium,Medium,Medium,Medium,C01,Apex Freight,Low Cost / Lower Reliability,1200,13301.0,3,3,3255.7,3099.92,-155.78,1,0,0.64,Medium,1.0,0.2222222222222222,1.0,0.0,0.907035175879397,2.713083333333333,146.11697027804405,20782.8125,0.3889,High Risk
SH000164,2024-04-06,2024,4,April,2,L011,Texas,North Carolina,Processing Hub,Processing Hub,Medium,Medium,Medium,Medium,C01,Apex Freight,Low Cost / Lower Reliability,1200,17637.0,3,3,3060.06,2960.21,-99.85,1,0,0.71,Medium,1.0,0.2,1.0,0.0,1.0,2.55005,146.11697027804405,24840.845070422536,0.3642,High Risk
SH000154,2024-04-07,2024,4,April,2,L011,Texas,North Carolina,Processing Hub,Processing Hub,Medium,Medium,Medium,Medium,C03,BlueRoute Transport,Balanced Performer,1200,19767.0,3,3,3331.6,3525.15,193.55,1,0,0.64,Medium,1.0,0.07142857142857142,1.0,0.0,0.907035175879397,2.776333333333333,70.5202312138728,30885.9375,0.2996,Medium Risk
SH000149,2024-04-07,2024,4,April,2,L010,Nevada,Tennessee,Upstream Supply,Battery Hub,Low,High,High,Medium,C04,Velocity Haul,Exception-Prone Carrier,1750,15202.0,4,6,5110.38,6661.24,1550.86,0,1,0.5,High,1.0,0.0,1.0,0.0,0.907035175879397,2.920217142857143,333.676268861454,30404.0,0.6549,Critical Risk
SH000143,2024-04-07,2024,4,April,2,L009,Georgia,Michigan,Battery Hub,EV Manufacturing Hub,Medium,High,Medium,High,C03,BlueRoute Transport,Balanced Performer,850,20047.0,2,2,2274.23,2181.25,-92.98,1,0,0.8,High,1.0,0.06666666666666667,1.0,0.0,1.0,2.675564705882353,49.951830443159906,25058.75,0.1786,Medium Risk
SH000126,2024-04-07,2024,4,April,2,L008,North Carolina,Tennessee,Processing Hub,EV Manufacturing Hub,Medium,High,Low,Medium,C03,BlueRoute Transport,Balanced Performer,450,17170.0,1,1,1110.65,1175.75,65.1,1,0,0.92,Medium,1.0,0.0625,0.907035175879397,0.0,0.907035175879397,2.4681111111111114,26.445086705202304,18663.043478260868,0.072,Low Risk
SH000120,2024-04-07,2024,4,April,2,L007,Texas,Georgia,Processing Hub,Battery Hub,Medium,High,Medium,High,C03,BlueRoute Transport,Balanced Performer,800,18531.0,2,1,2141.68,2181.83,40.15,1,0,0.81,High,1.0,0.058823529411764705,1.0,-0.14285714285714285,1.0,2.6771,47.013487475915205,22877.777777777777,0.1057,Low Risk
SH000073,2024-04-07,2024,4,April,2,L004,North Carolina,Michigan,Processing Hub,EV Manufacturing Hub,Medium,High,Medium,High,C03,BlueRoute Transport,Balanced Performer,700,14751.0,2,2,1852.59,1929.3,76.71,1,0,0.77,High,1.0,0.05555555555555555,1.0,-0.25,1.0,2.6465571428571426,41.136801541425804,19157.142857142855,0.0689,Low Risk
SH000011,2024-04-07,2024,4,April,2,L001,Nevada,Texas,Upstream Supply,Processing Hub,High,High,Medium,High,C02,Titan Logistics,Premium / High Reliability,1200,29548.0,3,3,3627.94,3804.42,176.48,1,0,0.87,High,1.0,0.08333333333333333,1.0,-0.2,1.0,3.0232833333333335,44.10256410256408,33963.2183908046,0.1063,Low Risk
SH000008,2024-04-07,2024,4,April,2,L001,Nevada,Texas,Upstream Supply,Processing Hub,High,High,Medium,High,C04,Velocity Haul,Exception-Prone Carrier,1200,19042.0,3,3,3076.14,2737.18,-338.96,1,0,0.83,High,0.8333333333333334,0.16666666666666666,1.0,-0.16666666666666666,1.0,2.56345,228.8065843621399,22942.168674698798,0.2822,Medium Risk
SH000005,2024-04-08,2024,4,April,2,L001,Nevada,Texas,Upstream Supply,Processing Hub,High,High,Medium,High,C03,BlueRoute Transport,Balanced Performer,1200,18510.0,3,5,3201.53,3413.84,212.31,0,0,0.76,High,1.0,0.05263157894736842,1.0,-0.14285714285714285,1.0,2.6679416666666667,70.5202312138728,24355.263157894737,0.5232,Critical Risk
SH000166,2024-04-08,2024,4,April,2,L012,Georgia,Texas,Battery Hub,Processing Hub,Low,Medium,Medium,Medium,C03,BlueRoute Transport,Balanced Performer,900,17824.0,3,3,2460.11,2572.34,112.23,1,0,0.57,Medium,0.95,0.05,1.0,0.0,0.907035175879397,2.7334555555555555,52.89017341040461,31270.175438596492,0.238,Medium Risk
SH000174,2024-04-08,2024,4,April,2,L012,Georgia,Texas,Battery Hub,Processing Hub,Low,Medium,Medium,Medium,C02,Titan Logistics,Premium / High Reliability,900,10116.0,3,3,2641.44,2786.9,145.46,1,0,0.7,Medium,1.0,0.07692307692307693,1.0,0.0,1.0,2.9349333333333334,33.07692307692306,14451.428571428572,0.1807,Medium Risk
SH000004,2024-04-09,2024,4,April,2,L001,Nevada,Texas,Upstream Supply,Processing Hub,High,High,Medium,High,C01,Apex Freight,Low Cost / Lower Reliability,1200,20019.0,3,3,2868.94,3132.78,263.84,1,0,0.9,High,1.0,0.18181818181818182,0.875,0.125,1.0,2.3907833333333333,146.11697027804405,22243.333333333332,0.1342,Low Risk
SH000049,2024-04-09,2024,4,April,2,L003,Georgia,Tennessee,Battery Hub,EV Manufacturing Hub,Medium,Medium,Low,Medium,C02,Titan Logistics,Premium / High Reliability,250,13580.0,1,1,658.91,657.54,-1.37,1,0,0.73,Medium,1.0,0.07142857142857142,1.0,0.0,1.0,2.63564,9.188034188034184,18602.739726027397,0.0463,Low Risk
SH000107,2024-04-09,2024,4,April,2,L007,Texas,Georgia,Processing Hub,Battery Hub,Medium,High,Medium,High,C04,Velocity Haul,Exception-Prone Carrier,800,13907.0,2,2,2016.22,2352.87,336.65,1,1,0.76,High,0.8571428571428571,0.14285714285714285,1.0,-0.25,1.0,2.520275,152.53772290809326,18298.684210526317,0.3196,High Risk
SH000161,2024-04-10,2024,4,April,2,L011,Texas,North Carolina,Processing Hub,Processing Hub,Medium,Medium,Medium,Medium,C04,Velocity Haul,Exception-Prone Carrier,1200,11077.0,3,4,3170.83,3465.07,294.24,0,0,0.75,Medium,0.875,0.25,1.0,0.0,0.907035175879397,2.642358333333333,228.8065843621399,14769.333333333334,0.6536,Critical Risk
SH000151,2024-04-10,2024,4,April,2,L010,Nevada,Tennessee,Upstream Supply,Battery Hub,Low,High,High,Medium,C03,BlueRoute Transport,Balanced Performer,1750,12569.0,4,4,5383.74,5362.14,-21.6,1,0,0.67,High,0.9523809523809523,0.047619047619047616,0.5,1.0,1.0,3.076422857142857,102.8420038535645,18759.70149253731,0.2543,Medium Risk
SH000101,2024-04-10,2024,4,April,2,L006,Nevada,Georgia,Upstream Supply,Battery Hub,Low,High,High,Medium,C04,Velocity Haul,Exception-Prone Carrier,1900,10155.0,5,7,6250.56,6922.38,671.82,0,1,0.48,Medium,0.7777777777777778,0.2222222222222222,1.0,0.0,0.907035175879397,3.289768421052632,362.2770919067215,21156.25,0.6898,Critical Risk
SH000097,2024-04-10,2024,4,April,2,L005,Texas,Tennessee,Processing Hub,Battery Hub,Medium,High,Medium,High,C03,BlueRoute Transport,Balanced Performer,900,18342.0,3,3,2447.21,2452.69,5.48,1,0,0.73,High,0.9545454545454546,0.045454545454545456,1.0,0.0,1.0,2.7191222222222224,52.89017341040461,25126.027397260274,0.3034,High Risk
SH000063,2024-04-10,2024,4,April,2,L003,Georgia,Tennessee,Battery Hub,EV Manufacturing Hub,Medium,Medium,Low,Medium,C03,BlueRoute Transport,Balanced Performer,250,15549.0,1,1,602.88,609.11,6.23,1,0,0.67,Medium,0.9565217391304348,0.043478260869565216,1.0,0.0,1.0,2.41152,14.691714836223502,23207.462686567163,0.1416,Low Risk
SH000042,2024-04-10,2024,4,April,2,L002,Texas,Michigan,Processing Hub,EV Manufacturing Hub,High,High,Medium,High,C04,Velocity Haul,Exception-Prone Carrier,1350,22681.0,3,3,3645.63,4073.15,427.52,1,0,0.84,High,0.7,0.3,1.0,-0.3333333333333333,0.907035175879397,2.700466666666667,257.4074074074074,27001.190476190477,0.237,Medium Risk
SH000034,2024-04-10,2024,4,April,2,L002,Texas,Michigan,Processing Hub,EV Manufacturing Hub,High,High,Medium,High,C04,Velocity Haul,Exception-Prone Carrier,1350,20735.0,3,3,3398.96,3523.78,124.82,1,0,0.8,High,0.7272727272727273,0.2727272727272727,1.0,-0.25,1.0,2.517748148148148,257.4074074074074,25918.75,0.2183,Medium Risk
SH000027,2024-04-10,2024,4,April,2,L002,Texas,Michigan,Processing Hub,EV Manufacturing Hub,High,High,Medium,High,C03,BlueRoute Transport,Balanced Performer,1350,21767.0,3,3,3795.63,3903.97,108.34,1,0,0.84,High,0.9583333333333334,0.041666666666666664,1.0,-0.2,1.0,2.811577777777778,79.33526011560691,25913.09523809524,0.2873,Medium Risk
SH000003,2024-04-10,2024,4,April,2,L001,Nevada,Texas,Upstream Supply,Processing Hub,High,High,Medium,High,C01,Apex Freight,Low Cost / Lower Reliability,1200,25136.0,3,3,2954.07,2822.49,-131.58,1,0,0.85,High,1.0,0.16666666666666666,0.8888888888888888,0.1111111111111111,1.0,2.461725,146.11697027804405,29571.764705882353,0.1473,Low Risk
SH000048,2024-04-10,2024,4,April,2,L003,Georgia,Tennessee,Battery Hub,EV Manufacturing Hub,Medium,Medium,Low,Medium,C04,Velocity Haul,Exception-Prone Carrier,250,14700.0,1,1,607.46,517.15,-90.31,1,0,0.82,Medium,0.75,0.25,1.0,0.0,1.0,2.42984,47.66803840877915,17926.829268292684,0.2191,Medium Risk
SH000001,2024-04-11,2024,4,April,2,L001,Nevada,Texas,Upstream Supply,Processing Hub,High,High,Medium,High,C03,BlueRoute Transport,Balanced Performer,1200,21544.0,3,3,3052.79,3379.69,326.9,1,0,0.77,High,0.96,0.04,0.9,0.1,0.6666666666666666,2.5439916666666664,70.5202312138728,27979.220779220777,0.0995,Low Risk
SH000047,2024-04-11,2024,4,April,2,L002,Texas,Michigan,Processing Hub,EV Manufacturing Hub,High,High,Medium,High,C04,Velocity Haul,Exception-Prone Carrier,1350,23126.0,3,3,3420.44,3205.61,-214.83,1,0,0.76,High,0.7692307692307693,0.23076923076923078,1.0,-0.16666666666666666,1.0,2.5336592592592595,257.4074074074074,30428.947368421053,0.2399,Medium Risk
SH000058,2024-04-11,2024,4,April,2,L003,Georgia,Tennessee,Battery Hub,EV Manufacturing Hub,Medium,Medium,Low,Medium,C01,Apex Freight,Low Cost / Lower Reliability,250,12027.0,1,1,566.86,534.45,-32.41,1,1,0.79,Medium,1.0,0.15384615384615385,1.0,0.0,0.907035175879397,2.26744,30.44103547459251,15224.050632911392,0.2033,Medium Risk
SH000095,2024-04-11,2024,4,April,2,L005,Texas,Tennessee,Processing Hub,Battery Hub,Medium,High,Medium,High,C04,Velocity Haul,Exception-Prone Carrier,900,20863.0,3,3,2257.51,2620.73,363.22,1,0,0.75,High,0.7857142857142857,0.21428571428571427,1.0,0.0,1.0,2.5083444444444445,171.60493827160494,27817.333333333332,0.2618,Medium Risk
SH000116,2024-04-11,2024,4,April,2,L007,Texas,Georgia,Processing Hub,Battery Hub,Medium,High,Medium,High,C03,BlueRoute Transport,Balanced Performer,800,13407.0,2,2,2183.4,2231.44,48.04,1,0,0.75,High,0.9615384615384616,0.038461538461538464,1.0,-0.2222222222222222,1.0,2.72925,47.013487475915205,17876.0,0.1,Low Risk
SH000028,2024-04-12,2024,4,April,2,L002,Texas,Michigan,Processing Hub,EV Manufacturing Hub,High,High,Medium,High,C04,Velocity Haul,Exception-Prone Carrier,1350,23862.0,3,3,3550.12,3448.38,-101.74,1,0,0.82,High,0.8,0.2,1.0,-0.14285714285714285,1.0,2.6297185185185183,257.4074074074074,29100.0,0.263,Medium Risk
SH000148,2024-04-12,2024,4,April,2,L010,Nevada,Tennessee,Upstream Supply,Battery Hub,Low,High,High,Medium,C01,Apex Freight,Low Cost / Lower Reliability,1750,14159.0,4,4,4899.03,4962.19,63.16,1,0,0.75,High,1.0,0.21428571428571427,0.6666666666666666,0.6666666666666666,0.907035175879397,2.799445714285714,213.08724832214756,18878.666666666668,0.2939,Medium Risk
